 B0 =      5500.   lambda =      26.9328
 indtim           5
 estq     1.034E-04
   cv     2.401E-01
   Year     F      catch    begbio    midbio    endbio    recbio
   Virg   0.000        0.     5625.     5500.     5378.      197.
   1991   0.670     2693.     5625.     3934.     2752.      197.
   1992   0.669     1422.     2974.     2082.     1457.      197.
   1993   0.305      429.     1668.     1400.     1176.      197.
   1994   0.142      179.     1386.     1262.     1150.      197.
   1995   0.091      116.     1361.     1272.     1188.      197.
   1996   0.088      116.     1402.     1311.     1226.      197.
   1997   0.109      146.     1442.     1335.     1235.      197.
   1998   0.075      102.     1451.     1367.     1288.      197.
